location_name,horizon,value,date
Alabama,1,309.2728609246271,2024-12-28
Alaska,1,14.496404210721854,2024-12-28
Arizona,1,683.3747074043278,2024-12-28
Arkansas,1,110.96027871664494,2024-12-28
California,1,1845.378416046352,2024-12-28
Colorado,1,180.20899353109746,2024-12-28
Connecticut,1,69.34908741086949,2024-12-28
Delaware,1,35.536195759361554,2024-12-28
District of Columbia,1,34.15356141303867,2024-12-28
Florida,1,1119.9549945698107,2024-12-28
Georgia,1,270.97382101122463,2024-12-28
Hawaii,1,36.91570891956204,2024-12-28
Idaho,1,176.48899537276134,2024-12-28
Illinois,1,674.6447245802406,2024-12-28
Indiana,1,199.3552382084764,2024-12-28
Iowa,1,48.7957708267253,2024-12-28
Kansas,1,105.08441992166027,2024-12-28
Kentucky,1,241.5077960785929,2024-12-28
Louisiana,1,246.82317427630645,2024-12-28
Maine,1,9.250264407320417,2024-12-28
Maryland,1,114.46801539061934,2024-12-28
Massachusetts,1,105.7456389245126,2024-12-28
Michigan,1,247.17610586339936,2024-12-28
Minnesota,1,300.81735453089993,2024-12-28
Mississippi,1,163.170832132784,2024-12-28
Missouri,1,312.0837746810511,2024-12-28
Montana,1,26.97543556690826,2024-12-28
Nebraska,1,57.21619797193256,2024-12-28
Nevada,1,170.6237121344655,2024-12-28
New Hampshire,1,47.88704243812743,2024-12-28
New Jersey,1,501.79761965980805,2024-12-28
New Mexico,1,157.14212598536687,2024-12-28
New York,1,949.1243092355352,2024-12-28
North Carolina,1,285.24680018124803,2024-12-28
North Dakota,1,16.664035026694346,2024-12-28
Ohio,1,403.9456511610602,2024-12-28
Oklahoma,1,76.79951194681436,2024-12-28
Oregon,1,324.35200445730067,2024-12-28
Pennsylvania,1,438.24315881571886,2024-12-28
Puerto Rico,1,29.685191331230865,2024-12-28
Rhode Island,1,15.307370113580435,2024-12-28
South Carolina,1,208.4616788780608,2024-12-28
South Dakota,1,20.34123452485466,2024-12-28
Tennessee,1,433.5730411742063,2024-12-28
Texas,1,1162.3351242766928,2024-12-28
US,1,11450.835657907252,2024-12-28
Utah,1,113.95523240876153,2024-12-28
Vermont,1,12.535406795230013,2024-12-28
Virginia,1,261.004518726924,2024-12-28
Washington,1,633.9890614233162,2024-12-28
West Virginia,1,44.903721088710896,2024-12-28
Wisconsin,1,130.1150868829477,2024-12-28
Wyoming,1,12.49757399708516,2024-12-28
Alabama,2,194.45398324712258,2025-01-04
Alaska,2,22.514618664356643,2025-01-04
Arizona,2,548.586511422779,2025-01-04
Arkansas,2,97.56031515642968,2025-01-04
California,2,1726.4887517753755,2025-01-04
Colorado,2,195.06102414979213,2025-01-04
Connecticut,2,103.19663744808543,2025-01-04
Delaware,2,43.403307267728266,2025-01-04
District of Columbia,2,34.52535909804238,2025-01-04
Florida,2,1068.1854557418915,2025-01-04
Georgia,2,296.8415666096113,2025-01-04
Hawaii,2,45.883312155943344,2025-01-04
Idaho,2,157.28171197095523,2025-01-04
Illinois,2,656.4913676748569,2025-01-04
Indiana,2,359.40567460294113,2025-01-04
Iowa,2,44.900577993116556,2025-01-04
Kansas,2,102.61656073336317,2025-01-04
Kentucky,2,318.0125580051277,2025-01-04
Louisiana,2,234.46049758607722,2025-01-04
Maine,2,7.556229882415445,2025-01-04
Maryland,2,227.41321752816955,2025-01-04
Massachusetts,2,212.32921129649063,2025-01-04
Michigan,2,346.78378546227157,2025-01-04
Minnesota,2,298.8392038403614,2025-01-04
Mississippi,2,198.32084476830852,2025-01-04
Missouri,2,287.8103145114406,2025-01-04
Montana,2,56.872522245556596,2025-01-04
Nebraska,2,62.07812560051356,2025-01-04
Nevada,2,253.15127967223313,2025-01-04
New Hampshire,2,66.02058408649079,2025-01-04
New Jersey,2,608.3085810876431,2025-01-04
New Mexico,2,184.06365737821605,2025-01-04
New York,2,1199.4173121938509,2025-01-04
North Carolina,2,323.57115421709364,2025-01-04
North Dakota,2,31.129944626184297,2025-01-04
Ohio,2,754.5273738362771,2025-01-04
Oklahoma,2,70.50507482339889,2025-01-04
Oregon,2,531.7457885785285,2025-01-04
Pennsylvania,2,443.53575798367683,2025-01-04
Puerto Rico,2,37.34119660789181,2025-01-04
Rhode Island,2,18.19831097161934,2025-01-04
South Carolina,2,216.39461164449406,2025-01-04
South Dakota,2,37.902379443642964,2025-01-04
Tennessee,2,442.44923193727703,2025-01-04
Texas,2,1090.7582704755366,2025-01-04
US,2,12240.899992066341,2025-01-04
Utah,2,82.88287066515251,2025-01-04
Vermont,2,23.39778769986881,2025-01-04
Virginia,2,298.7968144634659,2025-01-04
Washington,2,520.1994866728636,2025-01-04
West Virginia,2,97.5939188251368,2025-01-04
Wisconsin,2,260.62999297021884,2025-01-04
Wyoming,2,14.870109964595608,2025-01-04
Alabama,3,181.11725676639037,2025-01-11
Alaska,3,26.428569443197684,2025-01-11
Arizona,3,736.9596842079782,2025-01-11
Arkansas,3,157.66319386828417,2025-01-11
California,3,1660.9047907436889,2025-01-11
Colorado,3,277.9188280549222,2025-01-11
Connecticut,3,145.65573568065918,2025-01-11
Delaware,3,27.669203126030105,2025-01-11
District of Columbia,3,23.24381045346884,2025-01-11
Florida,3,958.5662931886933,2025-01-11
Georgia,3,272.54533370016657,2025-01-11
Hawaii,3,54.89966987495979,2025-01-11
Idaho,3,97.24731991162975,2025-01-11
Illinois,3,769.0394083261912,2025-01-11
Indiana,3,439.0116277220209,2025-01-11
Iowa,3,70.50372236992656,2025-01-11
