"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2024-12-14,"Hawaii",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,13.8238487579401,"argo_raw"
2024-12-14,"Idaho",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,59.6136793563083,"argo_raw"
2024-12-14,"Idaho",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,52.9529912221851,"argo_raw"
2024-12-14,"Idaho",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,50.1808827638185,"argo_raw"
2024-12-14,"Idaho",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,50.1808827638185,"argo_raw"
2024-12-14,"Illinois",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,166.450315557835,"argo_raw"
2024-12-14,"Illinois",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,181.756036968537,"argo_raw"
2024-12-14,"Illinois",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,101.412523002342,"argo_raw"
2024-12-14,"Illinois",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,119.044071347623,"argo_raw"
2024-12-14,"Indiana",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,145.050504248936,"argo_raw"
2024-12-14,"Indiana",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,76.8029147173579,"argo_raw"
2024-12-14,"Indiana",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,79.3434694919937,"argo_raw"
2024-12-14,"Indiana",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,80.111789559171,"argo_raw"
2024-12-14,"Iowa",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,15.7870944250816,"argo_raw"
2024-12-14,"Iowa",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,26.2446799553316,"argo_raw"
2024-12-14,"Iowa",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,17.2507699977719,"argo_raw"
2024-12-14,"Iowa",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,17.2988256689788,"argo_raw"
2024-12-14,"Kansas",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,41.5070818357904,"argo_raw"
2024-12-14,"Kansas",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,40.0096120181168,"argo_raw"
2024-12-14,"Kansas",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,31.7561793814098,"argo_raw"
2024-12-14,"Kansas",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,29.7451621150709,"argo_raw"
2024-12-14,"Kentucky",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,61.6926674778952,"argo_raw"
2024-12-14,"Kentucky",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,76.1874530314445,"argo_raw"
2024-12-14,"Kentucky",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,56.3811567572081,"argo_raw"
2024-12-14,"Kentucky",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,81.7415108748313,"argo_raw"
2024-12-14,"Louisiana",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,129.279776676129,"argo_raw"
2024-12-14,"Louisiana",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,122.824971381099,"argo_raw"
2024-12-14,"Louisiana",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,104.679752816363,"argo_raw"
2024-12-14,"Louisiana",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,119.266245703362,"argo_raw"
2024-12-14,"Maine",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,5.30080103988066,"argo_raw"
2024-12-14,"Maine",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,4.63665791875379,"argo_raw"
2024-12-14,"Maine",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,4.92282458747772,"argo_raw"
2024-12-14,"Maine",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,4.73440805137223,"argo_raw"
2024-12-14,"Maryland",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,52.7555402669391,"argo_raw"
2024-12-14,"Maryland",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,70.2545715751189,"argo_raw"
2024-12-14,"Maryland",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,31.5626478724442,"argo_raw"
2024-12-14,"Maryland",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,38.3290376182041,"argo_raw"
2024-12-14,"Massachusetts",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,140.284041742599,"argo_raw"
2024-12-14,"Massachusetts",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,83.8441535808452,"argo_raw"
2024-12-14,"Massachusetts",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,97.4047759239329,"argo_raw"
2024-12-14,"Massachusetts",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,84.0509916550382,"argo_raw"
2024-12-14,"Michigan",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,114.316137243163,"argo_raw"
2024-12-14,"Michigan",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,133.359854261003,"argo_raw"
2024-12-14,"Michigan",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,87.5811711653852,"argo_raw"
2024-12-14,"Michigan",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,67.203925376013,"argo_raw"
2024-12-14,"Minnesota",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,76.2671059332175,"argo_raw"
2024-12-14,"Minnesota",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,58.5035430734607,"argo_raw"
2024-12-14,"Minnesota",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,54.883149545706,"argo_raw"
2024-12-14,"Minnesota",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,53.6047764094864,"argo_raw"
2024-12-14,"Mississippi",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,45.018975077611,"argo_raw"
2024-12-14,"Mississippi",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,47.698951450505,"argo_raw"
2024-12-14,"Mississippi",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,42.0044384539892,"argo_raw"
2024-12-14,"Mississippi",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,39.102318527457,"argo_raw"
2024-12-14,"Missouri",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,102.975929569501,"argo_raw"
2024-12-14,"Missouri",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,92.4091773868033,"argo_raw"
2024-12-14,"Missouri",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,56.5489559773975,"argo_raw"
2024-12-14,"Missouri",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,56.0344544770667,"argo_raw"
2024-12-14,"Montana",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,10.4416964812622,"argo_raw"
2024-12-14,"Montana",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,8.78338175221817,"argo_raw"
2024-12-14,"Montana",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,7.2051443291493,"argo_raw"
2024-12-14,"Montana",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,7.52560679680782,"argo_raw"
2024-12-14,"Nebraska",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,21.1443822705129,"argo_raw"
2024-12-14,"Nebraska",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,19.702392306273,"argo_raw"
2024-12-14,"Nebraska",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,14.8420627301821,"argo_raw"
2024-12-14,"Nebraska",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,11.0916853272714,"argo_raw"
2024-12-14,"Nevada",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,83.3949568927489,"argo_raw"
