date,location_name,horizon,model,value
2024-12-28,Nebraska,3,arima,11.107832814473756
2025-01-04,Nebraska,4,arima,11.679613576808764
2024-12-14,Nevada,1,arima,65.82037248149027
2024-12-21,Nevada,2,arima,63.086247291378584
2024-12-28,Nevada,3,arima,60.148320792470145
2025-01-04,Nevada,4,arima,55.465439720829565
2024-12-14,New Hampshire,1,arima,16.0251968503937
2024-12-21,New Hampshire,2,arima,16.050393700787403
2024-12-28,New Hampshire,3,arima,16.075590551181104
2025-01-04,New Hampshire,4,arima,16.100787401574806
2024-12-14,New Jersey,1,arima,121.68553787990818
2024-12-21,New Jersey,2,arima,126.02420347025667
2024-12-28,New Jersey,3,arima,126.73921016611837
2025-01-04,New Jersey,4,arima,125.84348987967311
2024-12-14,New Mexico,1,arima,103.31274724568173
2024-12-21,New Mexico,2,arima,104.92302668450077
2024-12-28,New Mexico,3,arima,103.45185663557572
2025-01-04,New Mexico,4,arima,95.10731763254202
2024-12-14,New York,1,arima,305.3593105531396
2024-12-21,New York,2,arima,322.81199069524746
2024-12-28,New York,3,arima,335.2279524315604
2025-01-04,New York,4,arima,333.34484900357256
2024-12-14,North Carolina,1,arima,76.66016832226836
2024-12-21,North Carolina,2,arima,88.03020718594908
2024-12-28,North Carolina,3,arima,98.07973506179471
2025-01-04,North Carolina,4,arima,106.80385927758432
2024-12-14,North Dakota,1,arima,2.09085082471393
2024-12-21,North Dakota,2,arima,2.9893725456588673
2024-12-28,North Dakota,3,arima,3.312632737709582
2025-01-04,North Dakota,4,arima,3.6921314368421747
2024-12-14,Ohio,1,arima,94.82605892993428
2024-12-21,Ohio,2,arima,100.16384913041439
2024-12-28,Ohio,3,arima,101.90619040326385
2025-01-04,Ohio,4,arima,103.04086430885334
2024-12-14,Oklahoma,1,arima,32.4463976057748
2024-12-21,Oklahoma,2,arima,37.39686369867435
2024-12-28,Oklahoma,3,arima,43.13117968456239
2025-01-04,Oklahoma,4,arima,48.60167949100816
2024-12-14,Oregon,1,arima,82.48581491183708
2024-12-21,Oregon,2,arima,82.72208844553936
2024-12-28,Oregon,3,arima,80.71808662155131
2025-01-04,Oregon,4,arima,70.11656006595288
2024-12-14,Pennsylvania,1,arima,182.52299195124883
2024-12-21,Pennsylvania,2,arima,180.50910512776235
2024-12-28,Pennsylvania,3,arima,176.21959995257103
2025-01-04,Pennsylvania,4,arima,171.86225284407112
2024-12-14,Puerto Rico,1,arima,69.7930410132487
2024-12-21,Puerto Rico,2,arima,69.8849127438466
2024-12-28,Puerto Rico,3,arima,69.9767844744445
2025-01-04,Puerto Rico,4,arima,70.0686562050424
2024-12-14,Rhode Island,1,arima,9.23711828689434
2024-12-21,Rhode Island,2,arima,9.993940662329615
2024-12-28,Rhode Island,3,arima,10.519520161483857
2025-01-04,Rhode Island,4,arima,10.880059075806697
2024-12-14,South Carolina,1,arima,45.12815764156945
2024-12-21,South Carolina,2,arima,43.83340433537049
2024-12-28,South Carolina,3,arima,41.93339363409321
2025-01-04,South Carolina,4,arima,42.811553866711705
2024-12-14,South Dakota,1,arima,1.9173803358720685
2024-12-21,South Dakota,2,arima,2.7427697920133793
2024-12-28,South Dakota,3,arima,3.4853928107002043
2025-01-04,South Dakota,4,arima,4.153548847562776
2024-12-14,Tennessee,1,arima,105.70797360762901
2024-12-21,Tennessee,2,arima,99.590185716121
2024-12-28,Tennessee,3,arima,100.88301390978496
2025-01-04,Tennessee,4,arima,100.40537101260682
2024-12-14,Texas,1,arima,523.8982498913474
2024-12-21,Texas,2,arima,542.8860076593743
2024-12-28,Texas,3,arima,555.228880864209
2025-01-04,Texas,4,arima,569.2034391524842
2024-12-14,US,1,arima,6574.779716613953
2024-12-21,US,2,arima,6685.17892774038
2024-12-28,US,3,arima,6662.999430722517
2025-01-04,US,4,arima,6642.168741213941
2024-12-14,Utah,1,arima,59.56695345554315
2024-12-21,Utah,2,arima,59.66406717812494
2024-12-28,Utah,3,arima,59.76118090070673
2025-01-04,Utah,4,arima,59.858294623288515
2024-12-14,Vermont,1,arima,-0.009448818897638243
2024-12-21,Vermont,2,arima,-0.01889763779527604
2024-12-28,Vermont,3,arima,-0.02834645669291384
2025-01-04,Vermont,4,arima,-0.03779527559055164
2024-12-14,Virginia,1,arima,70.828141073588
2024-12-21,Virginia,2,arima,75.45505772710995
2024-12-28,Virginia,3,arima,79.36437137534428
2025-01-04,Virginia,4,arima,83.33744598167699
2024-12-14,Washington,1,arima,64.98843987562643
2024-12-21,Washington,2,arima,70.60058474558666
2024-12-28,Washington,3,arima,74.551864740957
2025-01-04,Washington,4,arima,77.14979858174276
2024-12-14,West Virginia,1,arima,13.936913069207002
2024-12-21,West Virginia,2,arima,13.919572976351976
2024-12-28,West Virginia,3,arima,13.90223288349695
2025-01-04,West Virginia,4,arima,13.884892790641924
2024-12-14,Wisconsin,1,arima,31.467856972298534
2024-12-21,Wisconsin,2,arima,37.18823461257274
2024-12-28,Wisconsin,3,arima,41.773357779328244
2025-01-04,Wisconsin,4,arima,45.361602392322034
2024-12-14,Wyoming,1,arima,4.93265326712317
2024-12-21,Wyoming,2,arima,4.937727388539783
2024-12-28,Wyoming,3,arima,4.942801509956396
2025-01-04,Wyoming,4,arima,4.94787563137301
