date,location_name,horizon,model,value
2024-12-28,Alabama,1,arima,452.3364084871002
2025-01-04,Alabama,2,arima,400.18899391539674
2025-01-11,Alabama,3,arima,368.81260785604013
2025-01-18,Alabama,4,arima,368.5577747496443
2024-12-28,Alaska,1,arima,18.02817927304432
2025-01-04,Alaska,2,arima,17.157561283802277
2025-01-11,Alaska,3,arima,16.890089898119978
2025-01-18,Alaska,4,arima,17.166248763945656
2024-12-28,Arizona,1,arima,207.18700317263097
2025-01-04,Arizona,2,arima,207.5100076652559
2025-01-11,Arizona,3,arima,207.83301215788083
2025-01-18,Arizona,4,arima,208.15601665050576
2024-12-28,Arkansas,1,arima,53.02606306022066
2025-01-04,Arkansas,2,arima,55.3785836788632
2025-01-11,Arkansas,3,arima,57.08430556504347
2025-01-18,Arkansas,4,arima,58.179456102602934
2024-12-28,California,1,arima,2410.356453198123
2025-01-04,California,2,arima,2314.60063136641
2025-01-11,California,3,arima,2128.1734459578065
2025-01-18,California,4,arima,1922.6994822163138
2024-12-28,Colorado,1,arima,166.55705084746523
2025-01-04,Colorado,2,arima,172.11636714785743
2025-01-11,Colorado,3,arima,174.44408014236828
2025-01-18,Colorado,4,arima,175.80073179595172
2024-12-28,Connecticut,1,arima,46.15757665935015
2025-01-04,Connecticut,2,arima,48.37345056372994
2025-01-11,Connecticut,3,arima,48.41736620137181
2025-01-18,Connecticut,4,arima,48.95328538092134
2024-12-28,Delaware,1,arima,36.33855467389006
2025-01-04,Delaware,2,arima,35.690235676059
2025-01-11,Delaware,3,arima,30.95121604742162
2025-01-18,Delaware,4,arima,27.796859014758585
2024-12-28,District of Columbia,1,arima,14.102159641430687
2025-01-04,District of Columbia,2,arima,13.30884755062102
2025-01-11,District of Columbia,3,arima,12.607894349511138
2025-01-18,District of Columbia,4,arima,11.988547441984837
2024-12-28,Florida,1,arima,1217.1643355153356
2025-01-04,Florida,2,arima,1221.7778844725144
2025-01-11,Florida,3,arima,1223.9423127895568
2025-01-18,Florida,4,arima,1225.8808272001766
2024-12-28,Georgia,1,arima,348.83642696527465
2025-01-04,Georgia,2,arima,333.71338832261404
2025-01-11,Georgia,3,arima,310.43069056075416
2025-01-18,Georgia,4,arima,290.43892611887065
2024-12-28,Hawaii,1,arima,39.14573155248956
2025-01-04,Hawaii,2,arima,40.348453990758415
2025-01-11,Hawaii,3,arima,40.30813959938889
2025-01-18,Hawaii,4,arima,38.741513692798755
2024-12-28,Idaho,1,arima,178.4160073380129
2025-01-04,Idaho,2,arima,186.24074085212362
2025-01-11,Idaho,3,arima,170.30842580201625
2025-01-18,Idaho,4,arima,151.93016889648462
2024-12-28,Illinois,1,arima,558.8714938171222
2025-01-04,Illinois,2,arima,564.7539293428151
2025-01-11,Illinois,3,arima,533.7468882256231
2025-01-18,Illinois,4,arima,487.88757660568865
2024-12-28,Indiana,1,arima,240.60634359353307
2025-01-04,Indiana,2,arima,238.07215164591003
2025-01-11,Indiana,3,arima,233.18548624888038
2025-01-18,Indiana,4,arima,221.36064729202786
2024-12-28,Iowa,1,arima,42.52217806817015
2025-01-04,Iowa,2,arima,44.291461274592436
2025-01-11,Iowa,3,arima,43.94143955723982
2025-01-18,Iowa,4,arima,41.91475896463212
2024-12-28,Kansas,1,arima,118.21094071198115
2025-01-04,Kansas,2,arima,111.68848327844498
2025-01-11,Kansas,3,arima,102.89981919780976
2025-01-18,Kansas,4,arima,94.09224246982389
2024-12-28,Kentucky,1,arima,225.71468851243105
2025-01-04,Kentucky,2,arima,226.07145393307653
2025-01-11,Kentucky,3,arima,226.428219353722
2025-01-18,Kentucky,4,arima,226.78498477436747
2024-12-28,Louisiana,1,arima,401.654574602956
2025-01-04,Louisiana,2,arima,392.9613607075642
2025-01-11,Louisiana,3,arima,379.6737553339129
2025-01-18,Louisiana,4,arima,362.26951528692683
2024-12-28,Maine,1,arima,7.562345994158973
2025-01-04,Maine,2,arima,9.38655486384087
2025-01-11,Maine,3,arima,10.496986444119942
2025-01-18,Maine,4,arima,11.33067914370709
2024-12-28,Maryland,1,arima,79.99350636045574
2025-01-04,Maryland,2,arima,82.83711233977746
2025-01-11,Maryland,3,arima,85.12973355488676
2025-01-18,Maryland,4,arima,82.72227301808704
2024-12-28,Massachusetts,1,arima,139.3411673253346
2025-01-04,Massachusetts,2,arima,136.19354455171435
2025-01-11,Massachusetts,3,arima,130.55652107565248
2025-01-18,Massachusetts,4,arima,126.76623082729411
2024-12-28,Michigan,1,arima,192.0106803264647
2025-01-04,Michigan,2,arima,184.25577786233254
2025-01-11,Michigan,3,arima,174.28166555691627
2025-01-18,Michigan,4,arima,163.4795671330598
2024-12-28,Minnesota,1,arima,248.1780692738121
2025-01-04,Minnesota,2,arima,244.1867827779649
2025-01-11,Minnesota,3,arima,237.37686782434173
2025-01-18,Minnesota,4,arima,228.11481346238367
2024-12-28,Mississippi,1,arima,43.61401815243217
2025-01-04,Mississippi,2,arima,40.66872924702712
2025-01-11,Mississippi,3,arima,45.11316608379642
2025-01-18,Mississippi,4,arima,44.31586665266717
2024-12-28,Missouri,1,arima,213.39401702232243
2025-01-04,Missouri,2,arima,222.06386462431243
2025-01-11,Missouri,3,arima,219.9068654621178
2025-01-18,Missouri,4,arima,212.95298266087642
2024-12-28,Montana,1,arima,26.040816326530617
2025-01-04,Montana,2,arima,26.08163265306123
2025-01-11,Montana,3,arima,26.122448979591844
2025-01-18,Montana,4,arima,26.163265306122458
2024-12-28,Nebraska,1,arima,69.47454111029657
2025-01-04,Nebraska,2,arima,64.48589707275461
2025-01-11,Nebraska,3,arima,59.98191471941947
2025-01-18,Nebraska,4,arima,55.91550771854039
2024-12-28,Nevada,1,arima,159.7573422864339
2025-01-04,Nevada,2,arima,151.48754061807827
2025-01-11,Nevada,3,arima,144.69737535033303
2025-01-18,Nevada,4,arima,130.18647707321028
2024-12-28,New Hampshire,1,arima,12.01883830455259
2025-01-04,New Hampshire,2,arima,12.03767660910518
2025-01-11,New Hampshire,3,arima,12.05651491365777
2025-01-18,New Hampshire,4,arima,12.07535321821036
2024-12-28,New Jersey,1,arima,376.4615876695388
2025-01-04,New Jersey,2,arima,374.6104139647288
2025-01-11,New Jersey,3,arima,356.65753619918155
2025-01-18,New Jersey,4,arima,332.56204939724415
2024-12-28,New Mexico,1,arima,151.31622189534508
2025-01-04,New Mexico,2,arima,151.3746800275294
2025-01-11,New Mexico,3,arima,145.02437876773115
2025-01-18,New Mexico,4,arima,137.93725439384676
2024-12-28,New York,1,arima,794.9713310665909
2025-01-04,New York,2,arima,814.0458799646455
2025-01-11,New York,3,arima,812.9221283847801
2025-01-18,New York,4,arima,773.7025604968278
2024-12-28,North Carolina,1,arima,241.95628235727148
2025-01-04,North Carolina,2,arima,236.77894034205565
2025-01-11,North Carolina,3,arima,229.81492741545875
2025-01-18,North Carolina,4,arima,221.39907190710701
2024-12-28,North Dakota,1,arima,6.3677656950075745
2025-01-04,North Dakota,2,arima,7.857768585906532
2025-01-11,North Dakota,3,arima,8.168800807020205
2025-01-18,North Dakota,4,arima,8.547174113136112
2024-12-28,Ohio,1,arima,322.96017396954596
2025-01-04,Ohio,2,arima,347.7452688434646
2025-01-11,Ohio,3,arima,354.25305241930386
2025-01-18,Ohio,4,arima,359.9889412917742
2024-12-28,Oklahoma,1,arima,64.87743818549058
2025-01-04,Oklahoma,2,arima,68.6237870021227
2025-01-11,Oklahoma,3,arima,71.07091870743811
2025-01-18,Oklahoma,4,arima,72.5999080056069
2024-12-28,Oregon,1,arima,256.35004231939126
2025-01-04,Oregon,2,arima,244.59210781833278
2025-01-11,Oregon,3,arima,213.18350150940702
2025-01-18,Oregon,4,arima,172.27746619262592
2024-12-28,Pennsylvania,1,arima,315.077723293605
2025-01-04,Pennsylvania,2,arima,296.96098927430114
2025-01-11,Pennsylvania,3,arima,278.0276223168931
2025-01-18,Pennsylvania,4,arima,260.7841726428913
2024-12-28,Puerto Rico,1,arima,31.25668873579574
2025-01-04,Puerto Rico,2,arima,31.266685057390845
2025-01-11,Puerto Rico,3,arima,31.27668137898595
2025-01-18,Puerto Rico,4,arima,31.286677700581052
2024-12-28,Rhode Island,1,arima,17.65898426663216
2025-01-04,Rhode Island,2,arima,13.943285676325207
2025-01-11,Rhode Island,3,arima,13.758526324974
2025-01-18,Rhode Island,4,arima,12.350099371990039
2024-12-28,South Carolina,1,arima,167.4708057643009
2025-01-04,South Carolina,2,arima,165.70631465958186
2025-01-11,South Carolina,3,arima,159.07599817389226
2025-01-18,South Carolina,4,arima,161.26674299139825
2024-12-28,South Dakota,1,arima,10.033190194224018
2025-01-04,South Dakota,2,arima,10.063019244170915
2025-01-11,South Dakota,3,arima,10.089827530218564
2025-01-18,South Dakota,4,arima,10.113920962697707
2024-12-28,Tennessee,1,arima,335.46808351401836
2025-01-04,Tennessee,2,arima,312.984787931755
2025-01-11,Tennessee,3,arima,301.68191009864097
2025-01-18,Tennessee,4,arima,283.69365004554464
2024-12-28,Texas,1,arima,1078.303082809207
2025-01-04,Texas,2,arima,1114.3043012814178
2025-01-11,Texas,3,arima,1133.5402089853615
2025-01-18,Texas,4,arima,1147.1022720123717
2024-12-28,US,1,arima,13796.814156130878
2025-01-04,US,2,arima,14018.915683492709
2025-01-11,US,3,arima,13979.02844622767
2025-01-18,US,4,arima,13940.642592819106
2024-12-28,Utah,1,arima,140.21978021978023
2025-01-04,Utah,2,arima,140.43956043956047
2025-01-11,Utah,3,arima,140.6593406593407
2025-01-18,Utah,4,arima,140.87912087912093
2024-12-28,Vermont,1,arima,7.001569858712716
2025-01-04,Vermont,2,arima,7.003139717425432
2025-01-11,Vermont,3,arima,7.004709576138148
2025-01-18,Vermont,4,arima,7.006279434850864
2024-12-28,Virginia,1,arima,164.0098211406065
2025-01-04,Virginia,2,arima,155.20049692656812
2025-01-11,Virginia,3,arima,150.01910575126126
2025-01-18,Virginia,4,arima,146.6086149898017
2024-12-28,Washington,1,arima,401.2637337296513
2025-01-04,Washington,2,arima,409.55506166349176
2025-01-11,Washington,3,arima,384.45598983802734
2025-01-18,Washington,4,arima,350.62028903336727
2024-12-28,West Virginia,1,arima,37.614084599221634
2025-01-04,West Virginia,2,arima,37.63299138126323
2025-01-11,West Virginia,3,arima,37.65189816330483
2025-01-18,West Virginia,4,arima,37.670804945346426
2024-12-28,Wisconsin,1,arima,114.83229086604571
2025-01-04,Wisconsin,2,arima,115.58557798528977
2025-01-11,Wisconsin,3,arima,110.09813821773115
2025-01-18,Wisconsin,4,arima,102.99763986226492
2024-12-28,Wyoming,1,arima,9.785904348491556
2025-01-04,Wyoming,2,arima,9.798742784521574
