location_name,horizon,value,date
Kentucky,3,9.693144567702673,2024-10-19
Louisiana,3,18.62288505816543,2024-10-19
Maine,3,1.864518192749847,2024-10-19
Maryland,3,6.590512917910262,2024-10-19
Massachusetts,3,4.514966816494077,2024-10-19
Michigan,3,28.40064585302049,2024-10-19
Minnesota,3,13.238158182927213,2024-10-19
Mississippi,3,4.492694776982763,2024-10-19
Missouri,3,16.872201725124462,2024-10-19
Montana,3,1.1648013988186394,2024-10-19
Nebraska,3,3.2590357085700363,2024-10-19
Nevada,3,3.362059765625057,2024-10-19
New Hampshire,3,6.993724896642223,2024-10-19
New Jersey,3,16.06306075898277,2024-10-19
New Mexico,3,1.2784424643618615,2024-10-19
New York,3,18.66030013498493,2024-10-19
North Carolina,3,43.808603302845825,2024-10-19
North Dakota,3,0.2767749423403758,2024-10-19
Ohio,3,12.785923438695484,2024-10-19
Oklahoma,3,16.2538125381223,2024-10-19
Oregon,3,-2.0530700728860807,2024-10-19
Pennsylvania,3,37.91912432015762,2024-10-19
Puerto Rico,3,14.944286566682793,2024-10-19
Rhode Island,3,1.2804256333440407,2024-10-19
South Carolina,3,21.98620079879835,2024-10-19
South Dakota,3,4.089119288841782,2024-10-19
Tennessee,3,17.069478348700073,2024-10-19
Texas,3,47.62849378585189,2024-10-19
US,3,1044.5797781497602,2024-10-19
Utah,3,3.133634781635986,2024-10-19
Vermont,3,-0.484403177587737,2024-10-19
Virginia,3,34.33822227473239,2024-10-19
Washington,3,7.974717767691011,2024-10-19
West Virginia,3,6.321333061377786,2024-10-19
Wisconsin,3,6.849282215456396,2024-10-19
Wyoming,3,0.6171780268967418,2024-10-19
Alabama,4,30.517996421615457,2024-10-26
Alaska,4,6.060713313525783,2024-10-26
Arizona,4,24.323366250642984,2024-10-26
Arkansas,4,6.58287495411074,2024-10-26
California,4,40.53850271411412,2024-10-26
Colorado,4,11.020548629164256,2024-10-26
Connecticut,4,14.658589803269933,2024-10-26
Delaware,4,2.306605978202448,2024-10-26
District of Columbia,4,2.509908006151918,2024-10-26
Florida,4,148.34394645269697,2024-10-26
Georgia,4,37.04784662535768,2024-10-26
Hawaii,4,4.495831208938098,2024-10-26
Idaho,4,2.207454928540366,2024-10-26
Illinois,4,36.81582487670708,2024-10-26
Indiana,4,34.297451188322164,2024-10-26
Iowa,4,5.048298863213076,2024-10-26
Kansas,4,11.273722389605712,2024-10-26
Kentucky,4,10.078243197777542,2024-10-26
Louisiana,4,14.800833230437563,2024-10-26
Maine,4,2.49261651473093,2024-10-26
Maryland,4,17.782044545859048,2024-10-26
Massachusetts,4,7.636801148171878,2024-10-26
Michigan,4,31.06133370186791,2024-10-26
