location_name,horizon,value,date
Alabama,1,50.16997326640448,2024-11-30
Alaska,1,10.76496416924462,2024-11-30
Arizona,1,782.4414502527187,2024-11-30
Arkansas,1,12.196565468286398,2024-11-30
California,1,601.8889767717357,2024-11-30
Colorado,1,35.4613285647422,2024-11-30
Connecticut,1,22.303586449753286,2024-11-30
Delaware,1,8.379044887000921,2024-11-30
District of Columbia,1,9.133680845182639,2024-11-30
Florida,1,339.3168252864273,2024-11-30
Georgia,1,49.90416658690406,2024-11-30
Hawaii,1,11.299635172961299,2024-11-30
Idaho,1,23.214548383429623,2024-11-30
Illinois,1,87.56948285878559,2024-11-30
Indiana,1,169.18463559310635,2024-11-30
Iowa,1,4.999062078903648,2024-11-30
Kansas,1,14.213077013617784,2024-11-30
Kentucky,1,89.93103993112773,2024-11-30
Louisiana,1,83.36413830140437,2024-11-30
Maine,1,4.700486957274207,2024-11-30
Maryland,1,17.407225577130816,2024-11-30
Massachusetts,1,44.955962697536265,2024-11-30
Michigan,1,174.61225516693884,2024-11-30
Minnesota,1,70.86584445102008,2024-11-30
Mississippi,1,28.655573033557673,2024-11-30
Missouri,1,55.079979677988455,2024-11-30
Montana,1,8.452264925851466,2024-11-30
Nebraska,1,5.020239689443832,2024-11-30
Nevada,1,44.7252728964648,2024-11-30
New Hampshire,1,14.234842806393939,2024-11-30
New Jersey,1,39.95806459893453,2024-11-30
New Mexico,1,31.715622907700176,2024-11-30
New York,1,132.99007528819158,2024-11-30
North Carolina,1,73.33032951641142,2024-11-30
North Dakota,1,6.905419025675546,2024-11-30
Ohio,1,501.70166270233716,2024-11-30
Oklahoma,1,26.801015290505816,2024-11-30
Oregon,1,48.146692768469066,2024-11-30
Pennsylvania,1,160.0613032625135,2024-11-30
Puerto Rico,1,47.91263767331971,2024-11-30
Rhode Island,1,3.2592636406227427,2024-11-30
South Carolina,1,17.680757184932688,2024-11-30
South Dakota,1,8.862657202792885,2024-11-30
Tennessee,1,65.35973659198595,2024-11-30
Texas,1,297.5979453278633,2024-11-30
US,1,3933.077570607995,2024-11-30
Utah,1,24.414682458201433,2024-11-30
Vermont,1,2.4788881578812867,2024-11-30
Virginia,1,45.40842617166429,2024-11-30
Washington,1,50.38539825659318,2024-11-30
West Virginia,1,7.8011783643530155,2024-11-30
Wisconsin,1,33.97726579992319,2024-11-30
Wyoming,1,24.219984444406897,2024-11-30
Alabama,2,55.92909123662471,2024-12-07
Alaska,2,12.14935230664491,2024-12-07
Arizona,2,825.1919904845456,2024-12-07
Arkansas,2,12.594876399027829,2024-12-07
California,2,926.5100728728507,2024-12-07
Colorado,2,43.18683861021202,2024-12-07
Connecticut,2,42.70125948630445,2024-12-07
Delaware,2,9.503423315244902,2024-12-07
District of Columbia,2,15.303312052928836,2024-12-07
Florida,2,494.6847841581652,2024-12-07
Georgia,2,70.27129379169143,2024-12-07
Hawaii,2,15.704031459634546,2024-12-07
Idaho,2,38.65463843948684,2024-12-07
Illinois,2,100.1372510176871,2024-12-07
Indiana,2,196.0914216952136,2024-12-07
Iowa,2,11.201410025782339,2024-12-07
Kansas,2,20.835882613969375,2024-12-07
Kentucky,2,52.83637295423584,2024-12-07
Louisiana,2,101.01283983975303,2024-12-07
Maine,2,6.049410509683422,2024-12-07
Maryland,2,34.66042952014158,2024-12-07
Massachusetts,2,58.99591210086284,2024-12-07
Michigan,2,198.69954171174555,2024-12-07
Minnesota,2,103.24073452790027,2024-12-07
Mississippi,2,38.7503517150376,2024-12-07
Missouri,2,79.82285781399445,2024-12-07
Montana,2,20.25355705644704,2024-12-07
Nebraska,2,9.428001111615917,2024-12-07
Nevada,2,74.23538247977733,2024-12-07
New Hampshire,2,20.67392308058425,2024-12-07
New Jersey,2,69.18845101069523,2024-12-07
New Mexico,2,55.102640852353204,2024-12-07
New York,2,186.2411207677978,2024-12-07
North Carolina,2,53.896945079409114,2024-12-07
North Dakota,2,27.047839391127663,2024-12-07
Ohio,2,327.3538862813139,2024-12-07
Oklahoma,2,36.83754559970677,2024-12-07
Oregon,2,54.230625998745964,2024-12-07
Pennsylvania,2,170.85508175482252,2024-12-07
Puerto Rico,2,55.51258459009121,2024-12-07
Rhode Island,2,3.6747564555559173,2024-12-07
South Carolina,2,27.897355122809266,2024-12-07
South Dakota,2,8.729722980554719,2024-12-07
Tennessee,2,81.55239039444082,2024-12-07
Texas,2,378.40466106964993,2024-12-07
US,2,4953.193284937919,2024-12-07
Utah,2,31.959114220207148,2024-12-07
Vermont,2,6.0516726952437745,2024-12-07
Virginia,2,99.61788456142422,2024-12-07
Washington,2,60.20905441471187,2024-12-07
West Virginia,2,11.143733656922423,2024-12-07
Wisconsin,2,77.441630991531,2024-12-07
Wyoming,2,17.826908299445343,2024-12-07
Alabama,3,84.2560627102377,2024-12-14
Alaska,3,11.079442193889607,2024-12-14
Arizona,3,704.1312717801923,2024-12-14
Arkansas,3,31.86228834652471,2024-12-14
California,3,1359.223724455238,2024-12-14
Colorado,3,51.79608992605454,2024-12-14
Connecticut,3,45.743254204879086,2024-12-14
Delaware,3,12.164810206832415,2024-12-14
District of Columbia,3,22.417901539251915,2024-12-14
Florida,3,654.910940703879,2024-12-14
Georgia,3,115.8020118762447,2024-12-14
Hawaii,3,17.43021173316379,2024-12-14
Idaho,3,82.69805205056929,2024-12-14
Illinois,3,110.63955563184474,2024-12-14
Indiana,3,164.42557275209052,2024-12-14
Iowa,3,26.944538659846355,2024-12-14
Kansas,3,27.97257068621893,2024-12-14
Kentucky,3,32.072269253475184,2024-12-14
Louisiana,3,103.44240046781069,2024-12-14
Maine,3,8.74045565388126,2024-12-14
Maryland,3,59.26675195329601,2024-12-14
Massachusetts,3,96.00472057172662,2024-12-14
Michigan,3,172.41319065921982,2024-12-14
Minnesota,3,109.06584150257756,2024-12-14
Mississippi,3,56.8962011589025,2024-12-14
Missouri,3,87.69861549641256,2024-12-14
Montana,3,37.74089899399002,2024-12-14
Nebraska,3,16.02395267897163,2024-12-14
Nevada,3,104.37001730331674,2024-12-14
New Hampshire,3,34.3463725759152,2024-12-14
New Jersey,3,69.5942727929868,2024-12-14
New Mexico,3,94.43066829177049,2024-12-14
New York,3,274.9526233406185,2024-12-14
North Carolina,3,176.87386838594063,2024-12-14
North Dakota,3,21.164225025995783,2024-12-14
Ohio,3,290.5724488004965,2024-12-14
Oklahoma,3,88.18857850197712,2024-12-14
Oregon,3,55.090636739818606,2024-12-14
Pennsylvania,3,213.12036569346006,2024-12-14
Puerto Rico,3,69.55572640652332,2024-12-14
Rhode Island,3,6.502224598061825,2024-12-14
South Carolina,3,38.54719156542598,2024-12-14
South Dakota,3,17.171286673553734,2024-12-14
Tennessee,3,89.57201939083451,2024-12-14
Texas,3,501.34495872056306,2024-12-14
US,3,5948.411582642503,2024-12-14
Utah,3,51.70086370143857,2024-12-14
Vermont,3,9.995362482339344,2024-12-14
Virginia,3,201.08744168211604,2024-12-14
Washington,3,184.55904062632095,2024-12-14
West Virginia,3,22.236963855199704,2024-12-14
Wisconsin,3,105.97804218719436,2024-12-14
Wyoming,3,34.78857860268861,2024-12-14
Alabama,4,98.15816742133558,2024-12-21
