event_week,location_name,horizon,value,model,date
202450,North Dakota,1,9.201389221379438,Ensemble,2024-12-14
202450,Ohio,1,124.89575775907355,Ensemble,2024-12-14
202450,Oklahoma,1,71.64553232240482,Ensemble,2024-12-14
202450,Oregon,1,62.53609372067379,Ensemble,2024-12-14
202450,Pennsylvania,1,175.81580001391592,Ensemble,2024-12-14
202450,Rhode Island,1,9.252695637050763,Ensemble,2024-12-14
202450,South Carolina,1,37.162387394905856,Ensemble,2024-12-14
202450,South Dakota,1,9.44067870022735,Ensemble,2024-12-14
202450,Tennessee,1,86.60691054675831,Ensemble,2024-12-14
202450,Texas,1,555.8646444141384,Ensemble,2024-12-14
202450,Utah,1,39.56723148956366,Ensemble,2024-12-14
202450,Vermont,1,6.660147628622469,Ensemble,2024-12-14
202450,Virginia,1,93.1977146110024,Ensemble,2024-12-14
202450,Washington,1,110.86178773095645,Ensemble,2024-12-14
202450,West Virginia,1,12.543279442595153,Ensemble,2024-12-14
202450,Wisconsin,1,43.8816409599517,Ensemble,2024-12-14
202450,Wyoming,1,6.249883333335292,Ensemble,2024-12-14
202450,Puerto Rico,1,72.02160434814039,Ensemble,2024-12-14
202451,US,2,6856.674135110146,Ensemble,2024-12-21
202451,Alabama,2,84.83488061269671,Ensemble,2024-12-21
202451,Alaska,2,13.917074398964276,Ensemble,2024-12-21
202451,Arizona,2,650.4338343048956,Ensemble,2024-12-21
202451,Arkansas,2,30.256590683869792,Ensemble,2024-12-21
202451,California,2,1344.5057025990257,Ensemble,2024-12-21
202451,Colorado,2,75.5303906084727,Ensemble,2024-12-21
202451,Connecticut,2,25.23605862010647,Ensemble,2024-12-21
202451,Delaware,2,24.95164607073103,Ensemble,2024-12-21
202451,District of Columbia,2,20.312585283892492,Ensemble,2024-12-21
202451,Florida,2,736.3340716262743,Ensemble,2024-12-21
202451,Georgia,2,113.34255803687493,Ensemble,2024-12-21
202451,Hawaii,2,22.674129873395394,Ensemble,2024-12-21
202451,Idaho,2,69.28724343595975,Ensemble,2024-12-21
202451,Illinois,2,222.36659999143166,Ensemble,2024-12-21
202451,Indiana,2,105.22970678341633,Ensemble,2024-12-21
202451,Iowa,2,13.522733545271006,Ensemble,2024-12-21
202451,Kansas,2,33.99032498069265,Ensemble,2024-12-21
202451,Kentucky,2,20.78517122602188,Ensemble,2024-12-21
202451,Louisiana,2,165.7146023939641,Ensemble,2024-12-21
202451,Maine,2,9.035393372985585,Ensemble,2024-12-21
202451,Maryland,2,57.417879327911024,Ensemble,2024-12-21
202451,Massachusetts,2,78.22877702857176,Ensemble,2024-12-21
202451,Michigan,2,105.92497771790673,Ensemble,2024-12-21
202451,Minnesota,2,64.99311803781532,Ensemble,2024-12-21
202451,Mississippi,2,67.01192173799015,Ensemble,2024-12-21
202451,Missouri,2,184.57512349647706,Ensemble,2024-12-21
202451,Montana,2,28.546200213206024,Ensemble,2024-12-21
202451,Nebraska,2,20.855056621667135,Ensemble,2024-12-21
202451,Nevada,2,124.2649668326178,Ensemble,2024-12-21
202451,New Hampshire,2,32.30524148888608,Ensemble,2024-12-21
202451,New Jersey,2,88.56903852053509,Ensemble,2024-12-21
202451,New Mexico,2,121.77123263356027,Ensemble,2024-12-21
202451,New York,2,324.2044750212454,Ensemble,2024-12-21
202451,North Carolina,2,199.6146237189667,Ensemble,2024-12-21
202451,North Dakota,2,19.745487695881593,Ensemble,2024-12-21
202451,Ohio,2,160.30705367902112,Ensemble,2024-12-21
202451,Oklahoma,2,83.82793985597154,Ensemble,2024-12-21
202451,Oregon,2,97.63077587135177,Ensemble,2024-12-21
