location_name,date,ili,pred_hosp,true_hosp,scale_factor,population,prelim_hosp,total_hosp
Tennessee,2009-04-25,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-05-02,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-05-09,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-05-16,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-05-23,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-05-30,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-06-06,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-06-13,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-06-20,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-06-27,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-07-04,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-07-11,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-07-18,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-07-25,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-08-01,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-08-08,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-08-15,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-08-22,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-08-29,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-09-05,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-09-12,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-09-19,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-09-26,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-10-03,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-10-10,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-10-17,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-10-24,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-10-31,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-11-07,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-11-14,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-11-21,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-11-28,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-12-05,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-12-12,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-12-19,NA,NA,NA,1,6975218,NA,NA
Tennessee,2009-12-26,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-01-02,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-01-09,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-01-16,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-01-23,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-01-30,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-02-06,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-02-13,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-02-20,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-02-27,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-03-06,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-03-13,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-03-20,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-03-27,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-04-03,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-04-10,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-04-17,NA,NA,NA,1,6975218,NA,NA
Tennessee,2010-04-24,NA,NA,NA,1,6975218,NA,NA
